B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
B10K-DU-001-20,Stercorarius_parasiticus,Panamanian,Nearctic Palearctic
B10K-DU-001-21,Baryphthengus_martii,Panamanian,Neotropical Panamanian
B10K-DU-001-22,Vireo_altiloquus,Nearctic,Nearctic
B10K-DU-001-23,Hemiprocne_comata,Oriental,Oriental
B10K-DU-001-24,Psilopogon_haemacephalus,Oriental,NA
B10K-DU-001-25,Edolisoma_coerulescens,Oriental,NA
B10K-DU-001-26,Irena_cyanogastra,Oriental,Oriental
B10K-DU-001-27,Sterrhoptilus_dennistouni,Oriental,NA
B10K-DU-001-28,Pachycephala_philippinensis,Oriental,Oriental
B10K-DU-001-29,Rhabdornis_inornatus,Oriental,Oriental
B10K-DU-001-30,Ramphastos_sulfuratus,Panamanian,Nearctic Neotropical Panamanian
B10K-DU-001-31,Quiscalus_mexicanus,Panamanian,Nearctic Neotropical Panamanian
B10K-DU-001-32,Hydrobates_tethys,Nearctic,NA
B10K-DU-001-33,Myiagra_hebetior,Oceanina,Oceanina
B10K-DU-001-34,Dicaeum_eximium,Oceanina,Oceanina
B10K-DU-001-35,Leptocoma_aspasia,Oceanina,NA
B10K-DU-001-36,Zosterops_hypoxanthus,Oceanina,Oceanina
B10K-DU-001-37,Tyrannus_savana,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-001-39,Alectura_lathami,Australian,Australian
B10K-DU-001-40,Podargus_strigoides,Australian,Australian
B10K-DU-001-42,Semnornis_frantzii,Panamanian,Panamanian
B10K-DU-001-43,Formicarius_rufipectus,Panamanian,Neotropical Panamanian
B10K-DU-001-44,Mesembrinibis_cayennensis,Panamanian,Neotropical Panamanian
B10K-DU-001-45,Setophaga_kirtlandii,Nearctic,NA
B10K-DU-001-46,Amazona_guildingii,Neotropical,Neotropical
B10K-DU-001-47,Ciconia_maguari,Neotropical,Neotropical Panamanian
B10K-DU-001-48,Dicrurus_megarhynchus,Oceanina,Oceanina
B10K-DU-001-49,Rhipidura_dahli,Oceanina,Oceanina
B10K-DU-001-53,Odontophorus_gujanensis,Neotropical,Neotropical Panamanian
B10K-DU-001-55,Heliornis_fulica,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-001-56,Nyctibius_grandis,Neotropical,Neotropical Panamanian
B10K-DU-001-57,Anseranas_semipalmata,Australian,Australian Oceanina
B10K-DU-001-60,Psophia_crepitans,Neotropical,Neotropical Panamanian
B10K-DU-001-61,Chloroceryle_aenea,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-001-62,Galbula_dea,Neotropical,Neotropical
B10K-DU-001-63,Donacobius_atricapilla,Neotropical,Neotropical Panamanian
B10K-DU-001-64,Burhinus_bistriatus,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-001-65,Lanius_ludovicianus,Nearctic,Nearctic Panamanian
B10K-DU-001-66,Polioptila_caerulea,Nearctic,Nearctic Panamanian
