ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121
APP-002,15.67555093,15.93727489,16.32007185,16.69328458,17.06480042,17.42648509,17.78269996,18.13653881,18.48827745,18.82616071,19.16385668,19.49767195,19.81561185,20.11804591,20.40532651,20.66640488,20.90478065,21.10004086,21.2643172,21.38089583,21.44754847,21.47146198,21.44408014,21.36727318,21.2434924,21.07392213,20.85713368,20.6040816,20.31725905,20.00014823,19.65434566,19.28630649,18.90113061,18.50463979,18.10176606,17.69063166,17.27876867,16.86572998,16.45364909,16.04346431,15.63589393,15.22924601,14.82724514,14.42700131,14.03128775,13.63857887,13.25138277,12.86803896,12.49416307,12.12601482,11.7706264,11.42517184,11.09447548,10.78002334,10.4818138,10.20479677,9.946605859,9.709719664,9.497076196,9.306457072,9.138052728,8.993228139,8.869681729,8.768247214,8.687208429,8.624326506,8.579721865,8.550944282,8.536370563,8.535013118,8.544844645,8.56328754,8.589823908,8.622134422,8.658647159,8.697196299,8.737284021,8.776448077,8.813585024,8.847587209,8.877339712,8.901701047,8.920027097,8.931223349,8.935721216,8.93328017,8.923003789,8.905718797,8.882544427,8.852984994,8.818224209,8.779216382,8.73689625,8.691670056,8.645052638,8.597937521,8.550984277,8.504818822,8.460593974,8.418609676,8.379572381,8.34386873,8.312018623,8.284235603,8.26040679,8.241390953,8.22699293,8.217505308,8.212616656,8.21243768,8.217552373,8.227356899,8.242024902,8.261325728,8.285492768,8.314398059,8.347909678,8.385704288,8.428211081,8.475141481,8.475141481
APP-004,13.68736144,13.69243666,13.68497363,13.65800623,13.619479,13.56741594,13.5065817,13.4350649,13.35026316,13.26798671,13.17245254,13.07072938,12.96571463,12.85467888,12.73676815,12.61114453,12.48327305,12.34236548,12.19675586,12.04257318,11.88011956,11.70894006,11.52953042,11.34302091,11.15543348,10.96115181,10.76721575,10.57296323,10.38239581,10.19463038,10.01860592,9.848941121,9.687667028,9.540710274,9.405515047,9.286609958,9.177738257,9.08591282,9.005338862,8.941330975,8.88959523,8.850310171,8.82200514,8.805376472,8.79622811,8.795379714,8.801322349,8.809954239,8.823242952,8.836851205,8.85036527,8.861464191,8.869767705,8.873833183,8.871863125,8.863359921,8.846895032,8.821458292,8.786334173,8.741149728,8.685866487,8.619323895,8.541606998,8.454046801,8.355344409,8.246707864,8.128485758,8.002391493,7.868031438,7.727823396,7.580822984,7.429233346,7.273644792,7.114763103,6.953916774,6.791121841,6.628001868,6.464931009,6.30278256,6.142366484,5.983983805,5.82822083,5.675734668,5.527183893,5.382978062,5.243109193,5.108200613,4.978240796,4.854082632,4.735233269,4.622515798,4.51571198,4.414847329,4.319832407,4.23098976,4.147931952,4.070915019,3.999845868,3.934643085,3.875169261,3.821069723,3.772555862,3.729253798,3.691100261,3.657926957,3.629707781,3.606150853,3.587168666,3.572993874,3.563014813,3.557258894,3.5557788,3.55826381,3.564650175,3.574729927,3.588498138,3.605759211,3.626301038,3.650023392,3.676819641,3.676819641
APP-005,6.01403133,5.965619442,5.646546457,5.323504745,5.071437866,4.8167718,4.620421043,4.428881669,4.288432519,4.162143295,4.070432555,4.002513671,3.953360719,3.934188049,3.924315747,3.931245169,3.9449168,3.962906834,3.983085574,4.004232144,4.026300101,4.049324744,4.072974961,4.099253649,4.129406783,4.162155458,4.200442895,4.242088528,4.286113761,4.332458944,4.382158131,4.430276,4.477304383,4.522144707,4.563817492,4.601792781,4.635480053,4.664514171,4.689164089,4.70696111,4.721404091,4.733177261,4.741593977,4.749254663,4.756425082,4.762915165,4.770912657,4.781714228,4.795235809,4.809760826,4.827356206,4.84621183,4.867147827,4.88998593,4.911100195,4.9323792,4.949150411,4.961101949,4.966516216,4.962057444,4.948587457,4.925845247,4.896268848,4.859383299,4.819416672,4.77515694,4.73196898,4.687899341,4.646195721,4.606349993,4.569483388,4.535081684,4.504661792,4.476466281,4.450702557,4.427463435,4.405825087,4.386842704,4.368981881,4.351843991,4.3352279,4.319570557,4.30348396,4.287008076,4.26936624,4.25132336,4.231811338,4.211050339,4.189000664,4.164974599,4.139293727,4.11181112,4.082420775,4.051197908,4.018385432,3.984218235,3.948262829,3.911075394,3.872630081,3.8331404,3.792673797,3.751460317,3.70928908,3.666633661,3.623356125,3.579708476,3.535761456,3.491490502,3.446899033,3.402063186,3.357223339,3.31218418,3.267235325,3.222207795,3.177322308,3.132564792,3.08803016,3.043769782,2.999721002,2.956102364,2.956102364
APP-006,2.052974696,2.064940005,2.110567341,2.157461994,2.204137801,2.250597573,2.297421069,2.344505731,2.391030497,2.437171591,2.483185596,2.528967504,2.57345446,2.616694291,2.659354572,2.701033046,2.741329376,2.780906336,2.818322835,2.855179582,2.890978446,2.925296333,2.95921521,2.991402407,3.022991094,3.054133087,3.083471491,3.112585935,3.139569435,3.166030908,3.191382952,3.215340898,3.238000667,3.259334287,3.279455997,3.298494024,3.316680424,3.333780053,3.350582121,3.366255218,3.381536704,3.397041956,3.411785651,3.427291177,3.442981131,3.459506769,3.476906494,3.494907637,3.514496356,3.53552702,3.557076314,3.581068714,3.606100782,3.633010207,3.660628083,3.690221957,3.720528392,3.751682148,3.783862796,3.816312332,3.848446333,3.880594207,3.911825121,3.942325421,3.971602914,3.998870679,4.024284727,4.047740763,4.0684699,4.087328328,4.103095874,4.116197341,4.1269149,4.134619146,4.139596048,4.141946754,4.141882742,4.138928028,4.133358987,4.125312986,4.115108933,4.102629595,4.088096849,4.071989481,4.054123688,4.035128558,4.014785775,3.993696138,3.971958936,3.949475724,3.926651728,3.90330486,3.879779601,3.856090664,3.832110599,3.808128924,3.783980029,3.759550595,3.73502202,3.710315782,3.685224499,3.659935572,3.634111052,3.60800957,3.581237172,3.55409493,3.526317028,3.497845251,3.468672952,3.438816289,3.408291672,3.377001011,3.345180425,3.312727047,3.279785239,3.246431138,3.212761943,3.178970937,3.145094055,3.111259506,3.111259506
APP-008,13.16321775,13.19165903,13.24280585,13.29778814,13.35838306,13.42482131,13.49690132,13.57441863,13.66070337,13.75337984,13.85584649,13.96310114,14.07754127,14.19887144,14.32191749,14.44920445,14.57665305,14.70546375,14.83079976,14.94927332,15.0607278,15.16050154,15.25152518,15.32772179,15.38934645,15.43375482,15.4602629,15.4711371,15.45814794,15.42694661,15.37577301,15.30536008,15.21337466,15.10494507,14.97491724,14.83037385,14.66723302,14.48988238,14.29942799,14.09472681,13.88143246,13.65864571,13.42785192,13.19161075,12.94996869,12.70595848,12.4601481,12.21226386,11.96670547,11.72166856,11.4799063,11.24136298,11.00746571,10.77776032,10.55471692,10.3371884,10.1267053,9.923106748,9.726033502,9.537540258,9.355959187,9.182309766,9.016222526,8.858498069,8.707872991,8.565385358,8.429832069,8.302593744,8.181722408,8.068606932,7.96207798,7.862948737,7.769836939,7.683797638,7.603509693,7.530019097,7.461988819,7.400299682,7.344135149,7.293945302,7.249083958,7.209778279,7.17580347,7.146995278,7.123559816,7.105112961,7.091891358,7.083254669,7.079520575,7.080419177,7.086220981,7.096269672,7.110792769,7.129644783,7.15288428,7.179865123,7.211242447,7.246004161,7.284878936,7.327036934,7.373099741,7.422313224,7.474906586,7.530768236,7.589663104,7.651629405,7.716410497,7.784107484,7.854875525,7.928048171,8.004237231,8.083158614,8.164862311,8.249657751,8.337358976,8.428600105,8.523491655,8.622268946,8.725743291,8.834513353,8.834513353
APP-009,4.382424819,4.425197476,4.630801829,4.845595864,5.07377413,5.313077833,5.564212089,5.826713228,6.098653431,6.383217907,6.677222815,6.981442747,7.295883484,7.619687466,7.952575318,8.293324929,8.643831466,9.004909925,9.371688494,9.747329224,10.13174868,10.52470087,10.91900597,11.31963096,11.72527604,12.1349592,12.54785643,12.96142674,13.37212153,13.78330149,14.19320631,14.59891497,14.99941359,15.38895407,15.7733645,16.15554902,16.52729565,16.88455629,17.23376622,17.57221876,17.89812163,18.21577093,18.51325459,18.80101536,19.07385754,19.33924357,19.59043785,19.82570709,20.05412584,20.27217379,20.47339203,20.66529038,20.85540197,21.03192766,21.19539561,21.360094,21.51489484,21.67330076,21.82818975,21.98676146,22.15631752,22.33574385,22.53132569,22.74297129,22.9735339,23.23155376,23.50854845,23.80470376,24.12929144,24.47347774,24.84361643,25.23032584,25.63319489,26.05641722,26.48754651,26.92413022,27.3676206,27.80678101,28.24825964,28.67618642,29.08413727,29.47486806,29.84058318,30.16716804,30.46144671,30.71177798,30.90984734,31.04909905,31.13092252,31.15309806,31.10386683,30.9818638,30.79048022,30.528018,30.19387969,29.79132214,29.32185476,28.78618005,28.19590898,27.54829663,26.85915504,26.12930918,25.36854054,24.58099776,23.77541937,22.95962823,22.13600324,21.31717853,20.50458194,19.70232518,18.91578869,18.14952014,17.40525654,16.68597808,15.99419866,15.33058331,14.69694051,14.09312103,13.51952866,12.97676478,12.97676478
APP-010,2.500190526,2.494136781,2.465124032,2.437780268,2.411807015,2.387309364,2.364915593,2.344798538,2.326928988,2.311869189,2.300079627,2.291093531,2.285200485,2.282407667,2.28297609,2.286754858,2.293688344,2.303985137,2.316932808,2.333329915,2.352943978,2.375068905,2.400338495,2.428316371,2.458943164,2.492352385,2.5277372,2.565574037,2.605649119,2.647522647,2.691862507,2.737560226,2.785688422,2.835448467,2.886881423,2.940079362,2.995472645,3.052490219,3.111970734,3.174023167,3.237940365,3.303929726,3.372616992,3.443284716,3.516678505,3.592567163,3.669761956,3.749505306,3.83109838,3.914953436,3.999395259,4.086125747,4.172987358,4.261187418,4.349620871,4.438641879,4.527602634,4.616281923,4.704709494,4.791706259,4.87782332,4.962526469,5.044962137,5.125982682,5.203266753,5.278016965,5.349511028,5.416315101,5.479244995,5.537045164,5.58920813,5.635735886,5.676754599,5.710594944,5.738227818,5.759239922,5.773083778,5.779478699,5.778802615,5.771234307,5.75701153,5.734978698,5.706764387,5.671556952,5.630414188,5.582798206,5.529459897,5.470906197,5.40741281,5.339199631,5.267037742,5.190999728,5.111643209,5.029578159,4.945276282,4.859191595,4.771588003,4.683396412,4.594815297,4.506086194,4.417816859,4.330181365,4.243781883,4.158652193,4.075342106,3.993940923,3.914801487,3.83799791,3.763732982,3.692158736,3.623511868,3.557595539,3.49485006,3.435129835,3.378434731,3.325009134,3.274567554,3.227299084,3.183042266,3.14179889,3.14179889
APP-011,2.649794146,2.663570242,2.747963045,2.832880245,2.918732457,3.005908485,3.093355967,3.180872881,3.268681466,3.356768813,3.444734105,3.531594614,3.617485531,3.704087311,3.789372742,3.87295934,3.95537496,4.035959187,4.115914803,4.192655239,4.268177843,4.341697479,4.413647123,4.482027683,4.547998397,4.612108334,4.674193601,4.732964056,4.789501469,4.843276561,4.894818761,4.94302568,4.988785995,5.032104625,5.071904053,5.109358492,5.144371126,5.17640015,5.205622571,5.231551331,5.255015529,5.275651824,5.29406837,5.3090544,5.322833816,5.332677754,5.341482986,5.347817716,5.352038294,5.354634638,5.35559729,5.355313916,5.354218119,5.352641877,5.349510222,5.346502793,5.343517504,5.340172826,5.336623628,5.333583739,5.331539062,5.329524702,5.328478634,5.328195703,5.32866845,5.329667384,5.332046726,5.335387386,5.339726287,5.345052481,5.351136992,5.357868909,5.365635044,5.373740587,5.382321655,5.391469201,5.400998045,5.410881186,5.420641615,5.430409903,5.440210634,5.449618043,5.458637365,5.467336869,5.475100648,5.482681652,5.489488992,5.495089208,5.499847792,5.503385022,5.506087713,5.507417208,5.507418961,5.506125906,5.503284272,5.499046189,5.493341753,5.485918953,5.476785894,5.466239286,5.453975748,5.440112087,5.424642767,5.407248422,5.388575729,5.368155457,5.346259481,5.322984482,5.298064784,5.272030558,5.244570391,5.216056426,5.18671238,5.156327803,5.125439535,5.094197373,5.062561967,5.031074119,4.999946032,4.969124961,4.969124961
APP-013,5.85049783,5.95919703,6.067510037,6.17440755,6.278111084,6.378908905,6.479150863,6.576282427,6.668220281,6.760527145,6.849047958,6.933691661,7.018432798,7.09680921,7.176593087,7.253107596,7.328759001,7.401100595,7.46916409,7.536510907,7.598082105,7.658347368,7.714687858,7.766037652,7.812340041,7.853908341,7.889637188,7.920931708,7.947041624,7.969057851,7.983379588,7.997328944,8.00631982,8.010957242,8.017169361,8.019482904,8.021217271,8.021889219,8.020102565,8.017137397,8.013017544,8.006589008,7.995889229,7.981602506,7.962289219,7.938014752,7.907102265,7.87030069,7.825317036,7.774348994,7.716599863,7.652806584,7.583541331,7.50851401,7.430856155,7.34828966,7.264214144,7.17693024,7.089452351,7.001442304,6.913577416,6.825586965,6.738976501,6.654634321,6.571757141,6.490394662,6.412201904,6.336572079,6.263421637,6.193431394,6.126236558,6.061574038,5.999993485,5.940930943,5.884692882,5.83062725,5.778453051,5.728094422,5.679181156,5.631094416,5.584138352,5.538023773,5.491996391,5.446005481,5.400165778,5.353729202,5.307066948,5.259905964,5.211969442,5.163384035,5.113865184,5.063482085,5.01262826,4.960599193,4.907618838,4.853865557,4.799528538,4.744160337,4.688148291,4.631536153,4.574329586,4.516778993,4.458867912,4.400856475,4.342854976,4.285053691,4.22763594,4.170712682,4.114455712,4.059267596,4.005087593,3.952200969,3.900705318,3.850993897,3.803001779,3.75675724,3.712504652,3.670415894,3.630370368,3.592500034,3.592500034
APP-014,7.523690041,7.539916861,7.607304281,7.67266272,7.734635355,7.793136251,7.847700259,7.898023435,7.942052622,7.98121573,8.01340301,8.038449201,8.05492706,8.062489336,8.064491501,8.058586811,8.043398328,8.020826412,7.990621514,7.953484389,7.90977037,7.856957543,7.798194622,7.73351305,7.659999257,7.581858281,7.497325931,7.407106817,7.310577035,7.210435353,7.105902032,6.998888972,6.889738769,6.779223281,6.669670049,6.561195975,6.454801114,6.352204807,6.254446246,6.161255424,6.074770643,5.994911567,5.922033261,5.857542828,5.800897954,5.753230339,5.713821213,5.68377133,5.662778323,5.651994766,5.650237707,5.658705162,5.676803353,5.705512909,5.744068879,5.793691235,5.853647463,5.924705044,6.006289556,6.098812892,6.201833963,6.315887805,6.440076723,6.574441769,6.71843897,6.871524034,7.033248495,7.202609023,7.380003128,7.562758145,7.751406476,7.944113894,8.140258543,8.338151439,8.537116991,8.735844972,8.933033636,9.127924085,9.318080586,9.503989818,9.684221714,9.85598512,10.02075474,10.1773863,10.32298089,10.4594339,10.58477818,10.69848497,10.80094615,10.89089694,10.9684967,11.03405386,11.08635681,11.12589099,11.15258673,11.16665863,11.16728986,11.15590652,11.1318817,11.09544807,11.04769622,10.98855409,10.91794811,10.83762947,10.74775159,10.64856098,10.54133548,10.42705099,10.30629367,10.18005401,10.04952026,9.915147546,9.778191745,9.639631348,9.499978233,9.360619209,9.222131329,9.085072552,8.950198998,8.8184576,8.8184576
