ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
OUT-0017,0.872296021,5.35E-07,20,Pos,decrease,-0.959930673,4.47E-13,23,Neg,decrease
OUT-0018,0.885703062,8.75E-09,24,Pos,decrease,-0.980556758,9.08E-18,25,Neg,decrease
OUT-0019,-0.85550834,2.56E-08,26,Neg,increase,-0.897552511,1.20E-09,25,Neg,decrease
OUT-0020,-0.096634671,0.624716457,28,No,not_significant,0.525019246,0.00412265,28,No,not_significant
OUT-0021,0.886012845,1.65E-10,29,Pos,decrease,-0.961254068,4.53E-16,28,Neg,decrease
OUT-0023,0.797217843,5.26E-06,23,Pos,decrease,0.911486564,5.95E-10,24,Pos,increase
OUT-0024,0.884929414,9.97E-08,21,Pos,decrease,-0.961305047,8.39E-14,24,Neg,decrease
OUT-0025,-0.847377916,1.75E-07,24,Neg,increase,-0.656360949,0.000670542,23,Neg,decrease
OUT-0028,-0.866406152,3.01E-10,31,Neg,increase,0.95492091,2.66E-16,30,Pos,increase
OUT-0029,0.885107697,4.00E-10,28,Pos,decrease,-0.968186262,1.48E-16,27,Neg,decrease
OUT-0030,-0.693956378,2.98E-05,29,Neg,increase,0.783078026,5.13E-07,29,Pos,increase
OUT-0031,-0.853396865,2.27E-07,23,Neg,increase,0.948808874,1.72E-12,24,Pos,increase
OUT-0032,0.773194445,2.13E-07,32,Pos,decrease,0.953766733,3.76E-16,30,Pos,increase
OUT-0036,0.909218385,1.48E-12,31,Pos,decrease,-0.876277881,4.71E-10,29,Neg,decrease
OUT-0039,0.904979597,2.04E-13,34,Pos,decrease,-0.978790935,8.02E-21,30,Neg,decrease
OUT-0040,0.504745525,0.001986823,35,No,not_significant,0.929499107,5.67E-15,33,Pos,increase
OUT-0045,-0.904635213,7.54E-09,22,Neg,increase,0.971051763,1.54E-14,23,Pos,increase
OUT-0047,-0.792904997,4.88E-07,28,Neg,increase,0.966227631,3.09E-16,27,Pos,increase
OUT-0049,0.877208006,9.52E-11,31,Pos,decrease,-0.979914728,1.92E-20,29,Neg,decrease
OUT-0050,0.875711621,9.41E-08,22,Pos,decrease,-0.971454811,1.33E-14,23,Neg,decrease
OUT-0054,0.804548495,2.47E-07,28,Pos,decrease,0.944484319,1.37E-13,27,Pos,increase
OUT-0059,0.770924185,9.91E-07,29,Pos,decrease,-0.96963234,8.34E-17,27,Neg,decrease
OUT-0062,0.825195323,2.02E-08,30,Pos,decrease,0.963539081,2.08E-16,28,Pos,increase
