ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
APP-040,-0.718144528,3.70E-06,32,Neg,increase,-0.948506161,1.65E-15,30,Neg,decrease
APP-041,-0.884833818,1.89E-10,29,Neg,increase,0.961201222,4.61E-16,28,Pos,increase
APP-043,0.862783043,8.70E-10,30,Pos,decrease,-0.963910263,1.83E-16,28,Neg,decrease
APP-044,0.897902207,4.02E-11,29,Pos,decrease,-0.751934256,6.12E-06,27,Neg,decrease
APP-045,-0.861475839,4.92E-10,31,Neg,increase,-0.745242644,5.37E-06,28,Neg,decrease
B10K-Callaeas_wilsoni,0.300445795,0.144487211,25,No,not_significant,0.961365109,8.25E-14,24,Pos,increase
B10K-Casuarius_casuarius,0.481170623,0.01105634,27,No,not_significant,0.978884067,4.66E-18,26,Pos,increase
B10K-Crypturellus_soui,0.877355688,8.58E-09,25,Pos,decrease,-0.952855657,7.08E-13,24,Neg,decrease
B10K-Crypturellus_undulatus,0.879509327,7.02E-08,22,Pos,decrease,-0.967477279,2.09E-13,22,Neg,decrease
B10K-CU-030-46,0.797403361,1.08E-06,26,Pos,decrease,0.935066478,7.65E-12,25,Pos,increase
B10K-CU-031-01,0.420757026,0.023035208,29,No,not_significant,-0.591896363,0.00114505,27,Neg,decrease
B10K-CU-031-02,0.862194107,1.23E-07,23,Pos,decrease,-0.96884679,3.31E-14,23,Neg,decrease
B10K-CU-031-03,0.847238287,0.00050399,12,Pos,decrease,0.944058041,3.92E-07,14,Pos,increase
B10K-CU-031-08,-0.872071336,5.43E-07,20,Neg,increase,0.974674201,8.09E-14,21,Pos,increase
B10K-CU-031-10,0.78115126,2.92E-05,21,Pos,decrease,-0.894932458,4.38E-08,21,Neg,decrease
B10K-CU-031-11,-0.774055983,2.37E-05,22,Neg,increase,-0.915797832,8.93E-10,23,Neg,decrease
B10K-CU-031-17,0.822389124,1.55E-05,19,Pos,decrease,-0.161012139,0.485652784,21,No,not_significant
B10K-CU-031-19,0.876408454,3.95E-06,17,Pos,decrease,-0.815478372,2.09E-05,19,Neg,decrease
B10K-CU-031-20,0.095217756,0.63661977,27,No,not_significant,0.975242342,6.69E-18,27,Pos,increase
