ID,K=3,K=4,K=5,K=6,K=7
B10K-DU-011-36,3,4,5,6,6
B10K-DU-011-42,1,2,3,4,4
B10K-DU-012-02,3,4,5,6,6
B10K-DU-012-10,1,2,2,2,2
B10K-DU-012-37,3,4,5,6,7
B10K-DU-012-38,1,2,3,4,4
B10K-DU-012-45,3,4,5,6,6
B10K-DU-012-46,1,2,3,4,4
B10K-DU-012-52,2,3,4,5,5
B10K-DU-012-55,2,3,4,5,5
B10K-DU-012-80,3,4,5,6,6
B10K-DU-013-18,1,2,3,3,3
B10K-DU-015-11,1,2,2,2,2
B10K-DU-015-28,2,3,4,5,5
B10K-DU-017-25,1,2,2,2,2
B10K-DU-021-26,1,2,3,3,3
B10K-DU-021-33,1,2,3,4,4
B10K-DU-024-03,2,3,4,5,5
B10K-DU-027-49,2,3,4,5,5
B10K-DU-029-32,2,3,4,5,5
B10K-DU-029-33,3,4,5,6,6
B10K-DU-029-36,1,1,1,1,1
B10K-DU-029-37,1,2,3,3,3
B10K-DU-029-38,1,2,2,2,2
B10K-DU-029-39,1,1,1,1,1
B10K-DU-029-40,1,2,3,3,3
B10K-DU-029-41,1,2,3,4,4
B10K-DU-029-42,1,2,3,4,4
B10K-DU-029-43,1,2,3,3,3
B10K-DU-029-44,1,2,3,3,3
B10K-DU-029-46,1,2,3,4,4
B10K-DU-029-47,1,1,1,1,1
B10K-DU-029-49,3,4,5,6,7
B10K-DU-029-50,3,4,5,6,7
B10K-DU-029-51,1,2,3,3,3
B10K-DU-029-52,1,2,3,4,4
B10K-DU-029-53,1,2,3,4,4
B10K-DU-029-58,1,2,3,3,3
B10K-DU-029-61,3,4,5,6,7
B10K-DU-029-76,3,4,5,6,6
B10K-DU-029-77,1,2,3,3,3
B10K-DU-029-80,1,2,3,4,4
B10K-DU-030-03,2,3,4,5,5
B10K-DU-030-22,3,4,5,6,7
B10K-DU-030-41,1,2,3,4,4
B10K-DU-030-59,1,1,1,1,1
B10K-Eudromia_elegans,3,4,5,6,7
B10K-IZ-033-77,1,2,3,3,3
B10K-IZ-033-78,1,2,3,3,3
B10K-IZ-033-81,3,4,5,6,7
B10K-Nothocercus_julius,3,4,5,6,7
B10K-Nothocercus_nigrocapillus,1,2,3,3,3
B10K-Nothoprocta_ornata,2,3,4,5,5
B10K-Nothoprocta_pentlandii,3,4,5,6,7
B10K-UC-030-53,1,2,3,3,3
NCBI-001,3,4,5,6,6
NCBI-002,1,2,2,2,2
NCBI-006,1,1,1,1,1
NCBI-007,2,3,4,5,5
NCBI-008,1,2,2,2,2
NCBI-009,3,4,5,6,6
NCBI-010,3,4,5,6,7
NCBI-014,3,4,5,6,7
NCBI-019,1,2,2,2,2
NCBI-020,1,2,3,3,3
NCBI-021,3,4,5,6,7
NCBI-022,1,2,3,4,4
NCBI-024,3,4,5,6,6
NCBI-025,3,4,5,6,7
NCBI-027,3,4,5,6,7
NCBI-028,1,2,2,2,2
NCBI-030,3,4,5,6,7
NCBI-031,1,2,2,2,2
NCBI-032,3,4,5,6,6
NCBI-033,3,4,5,6,7
NCBI-035,2,3,4,5,5
NCBI-037,3,4,5,6,6
OUT-0003,1,2,3,3,3
OUT-0008,1,2,3,4,4
OUT-0011,1,2,3,4,4
OUT-0013,1,2,3,3,3
OUT-0016,1,1,1,1,1
OUT-0017,3,4,5,6,6
OUT-0018,1,2,2,2,2
OUT-0019,1,1,1,1,1
OUT-0020,1,2,3,3,3
OUT-0021,3,4,5,6,6
OUT-0023,1,2,2,2,2
OUT-0024,3,4,5,6,6
OUT-0025,1,2,3,4,4
OUT-0028,2,3,4,5,5
OUT-0029,3,4,5,6,6
OUT-0030,1,2,3,3,3
OUT-0031,1,2,3,4,4
OUT-0032,1,2,3,3,3
OUT-0036,3,4,5,6,7
OUT-0039,3,4,5,6,7
OUT-0040,1,2,3,4,4
OUT-0045,1,2,3,3,3
OUT-0047,3,4,5,6,7
OUT-0049,1,2,3,3,3
OUT-0050,3,4,5,6,6
OUT-0054,3,4,5,6,7
OUT-0059,3,4,5,6,7
OUT-0062,3,4,5,6,7
