species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Bombycilla_garrulus,Bombycillidae,Passeriformes,54.5,1.064,5,3.8,13.5,NA,14.5,160,1550,169200,3,15.75,7.575,5.1,6.1,20.675,41.3,115.5,35.77119506,LC
Brachypodius_atriceps,Pycnonotidae,Passeriformes,25.5,NA,2.4,NA,NA,NA,NA,400,850,38400,1,15.575,10,4.4,4.625,14.625,14.1,77.75,18.13508222,LC
Brachypteracias_leptosomus,Brachypteraciidae,Coraciiformes,185,NA,NA,NA,NA,NA,24,0,1500,1000,1,41.7,27.025,13.325,15.025,33.5,27,136.5,19.78436792,VU
Bucco_capensis,Bucconidae,Piciformes,54,NA,NA,NA,NA,NA,NA,0,1100,43700,1,33.525,21.95,11.25,12.675,17.225,17.225,85.75,19.9353732,LC
Buceros_rhinoceros,Bucerotidae,Bucerotiformes,2380,17.38,1.4,NA,NA,NA,41.5,10,1400,17400,1,261,215.3333333,53.025,109.45,70.175,97.25,450.75,21.66519885,NT
Bucorvus_abyssinicus,Bucorvidae,Bucerotiformes,4000,23.75,1.8,95.3,70,NA,NA,0,3257,45400,1,256.5,189.75,31.375,56.275,145.625,114.125,556,20.54886947,LC
Buphagus_erythrorhynchus,Sturnidae,Passeriformes,50.8,1.25,3,4.1,NA,NA,NA,0,3030,42400,1,19.732,12.25,5.825,7.175,20.324,35.8,119.5,29.39964905,LC
Burhinus_bistriatus,Burhinidae,Charadriiformes,787,4.66,2,NA,NA,NA,28,0,1700,14500,1,49.775,25.35,10.425,12.15,110.25,105.65,241.75,43.64129143,LC
Cairina_moschata,Anatidae,Anseriformes,2450,7.352,11,74,NA,NA,NA,0,1900,130800,1,65.2575,38.69375,22.32875,15.78375,55.21125,123.935,337.5,35.17375258,LC
Calcarius_ornatus,Emberizidae,Passeriformes,20.3,NA,4.4,2.03,4,NA,11.5,600,2500,12800,3,11.4,7.52,4.22,5.22,19.68,21.04,78.9,26.71589125,NT
Calidris_pugnax,Scolopacidae,Charadriiformes,136,1.56,3.8,21,13.92,0.665,21.5,10,549,156500,3,38.375,26.725,3.575,5.075,44.35,85,167.25,50.81698499,LC
Callaeas_wilsoni,Callaeatidae,Passeriformes,NA,NA,2.5,14.7,NA,NA,NA,50,600,2500,1,32.55,15.45,9.875,13.2,66.475,17.975,158,11.33163061,CR
Callipepla_squamata,Odontophoridae,Galliformes,184,NA,13,10.3,NA,NA,22,0,2133,17100,1,13.65,8.25,5.725,6.95,31.9,27.8,115.25,24.23587391,LC
Caloenas_nicobarica,Columbidae,Columbiformes,540,3.06,1,27.8,NA,NA,NA,0,700,29100,2,30.775,16.45,5.325,7.45,44.35,85.475,260.25,32.81760727,NT
Calonectris_borealis,Procellariidae,Procellariiformes,535,4.92,1,74,24.83,0.073,53.8,1,650,2200,3,54.9975,41.22,11.34,15.035,54.2325,186.25,347,53.67127393,LC
Calypte_anna,Trochilidae,Caprimulgiformes,4.3,NA,2,0.56,8.5,NA,16.5,0,2500,10300,2,20.325,15.65,1.425,1.7,4.433333333,32.15,49,65.62151134,LC
Calyptomena_viridis,Eurylaimidae,Passeriformes,58.5,1.05,1.7,NA,NA,NA,NA,0,1000,18600,1,16.56,9.86,5.72,6.1,20.8,16.54,99,16.71401946,NT
Campylorhamphus_procurvoides,Dendrocolaptidae,Passeriformes,33.5,NA,NA,NA,NA,NA,NA,0,500,40800,1,55.7475,50.069,4.054545455,5.309090909,19.38181818,17.25181818,93.55818182,18.4546343,LC
