species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Erpornis_zantholeuca,Timaliidae,Passeriformes,11.8,0.61,NA,1.4,NA,NA,NA,20,1700,39900,1,14.025,8.45,3.2,4,15.525,11.025,63.375,17.39659508,LC
Erythrocercus_mccallii,Monarchidae,Passeriformes,7.2,NA,2,NA,NA,NA,NA,0,1500,18800,1,10.762,5.85,2.95,2.825,14.96,4.1,47.4,8.730610059,LC
Eubucco_bourcierii,Ramphastidae,Piciformes,37,NA,3.2,NA,NA,NA,15,300,2500,4600,1,19.75,14.85,5.5,8.375,19.55,10.575,71.5,14.771018,LC
Eudromia_elegans,Tinamidae,Struthioniformes,703.5,2.49,5.5,43,NA,NA,20.5,0,3000,19300,1,28.382,13.8,7.12,7.324,43.712,74.038,215.782,34.34742757,LC
Eulacestoma_nigropectus,Falcunculidae,Passeriformes,20,0.91,NA,NA,NA,NA,NA,2100,2500,2800,1,15.175,7.325,3.925,8.4,19.05,9.175,69.375,13.23077553,LC
Eurypyga_helias,Eurypygidae,Eurypygiformes,210,2.48,2,28.5,15,NA,30,0,1830,76900,1,58.15,41,2.975,8.7,49.1,33.55,209.75,15.97622177,LC
Eurystomus_gularis,Coraciidae,Coraciiformes,96.3,NA,2.5,12.2,NA,NA,NA,100,1600,27000,1,25.175,15.2,11.425,12.525,17.775,61.75,146.25,42.40935087,LC
Falco_cherrug,Falconidae,Falconiformes,966,NA,4,53,25,NA,29.5,800,4700,133600,3,34.875,21.8,15.375,18.2,54.975,190.5,382.25,49.92997391,EN
Falco_peregrinus,Falconidae,Falconiformes,697.5,6.228,3.3,48,25,0.315,34,0,4300,657000,2,38.95,19.275,13.85,15.775,42.2,170.25,307,55.42239926,LC
Falcunculus_frontatus,Falcunculidae,Passeriformes,28.1,1.188,2.6,3.26,NA,NA,18.25,10,1200,13200,1,20.025,10.175,4.8,10.7,19.45,17.875,89,20.04728153,LC
Ficedula_albicollis,Muscicapidae,Passeriformes,12.7,0.458,5.9,1.6,9.83,0.565,12.8,10,1100,35200,3,11.875,6.075,3.825,3.2,16.225,22.85,79.25,28.830186,LC
Formicarius_rufipectus,Formicariidae,Passeriformes,74.4,1.35,NA,NA,NA,NA,NA,750,2400,3300,1,26.775,13.1,5.625,6.625,35.75,11.8,92.625,12.76119391,LC
Fregata_magnificens,Fregatidae,Suliformes,1499.3,NA,1,88,34,NA,50.7,0,100,8200,3,124.45,95.9,25.225,22.025,31.125,413,645.25,63.97294072,LC
Fregetta_grallaria,Hydrobatidae,Procellariiformes,51.6,0.9,1,10.8,NA,NA,NA,0,NA,1200,3,19.725,8.7,3.275,4.35,36.85,98.425,169,58.26050466,LC
Fulmarus_glacialis,Procellariidae,Procellariiformes,613,6.33,1,98,51,0.03,48,0,340,28600,3,40.175,23.625,12.55,14,49.85,162.5,317.5,51.14210464,LC
Furnarius_figulus,Furnariidae,Passeriformes,28,NA,2,NA,NA,NA,20,0,900,15900,1,21.13,13.592,3.548,4.08,25.764,13.284,84.03,15.80581964,LC
Galbula_dea,Galbulidae,Piciformes,27.4,NA,NA,NA,NA,NA,NA,0,1100,50200,1,56.6,47.15,6.025,8.175,13.2,23.775,90.25,26.16900337,LC
Gallus_gallus,Phasianidae,Galliformes,904,NA,5.7,29.6,30,NA,19,42,2900,33400,1,28.65,14.15,8.8,8.525,65.9,47.975,206,23.21714883,LC
Gallus_lafayettii,Phasianidae,Galliformes,766.3,NA,2,NA,NA,NA,NA,0,2300,1100,1,34.425,15.675,9.175,9.533333333,67.825,40.75,199.25,20.42484239,LC
Gallus_sonneratii,Phasianidae,Galliformes,855.3,3.082,4.5,33.45,NA,NA,20.5,50,2400,8300,1,33.46666667,14.93333333,9.125,9.15,65.825,45.175,213.5,21.2538904,LC
Gallus_varius,Phasianidae,Galliformes,914.3,NA,3.5,29.2,NA,NA,NA,50,3000,4400,1,28.76666667,13.7,8.725,9.325,63.625,40.6,196.75,20.65508386,LC
Gavia_stellata,Gaviidae,Gaviiformes,1486,5.405,1.8,83,23.7,NA,26.3,0,1070,442900,3,61.625,37.4,7.125,11.925,63.9,130.725,274.5,47.54076882,LC
Geococcyx_californianus,Cuculidae,Cuculiformes,376,3.55,4.3,19.2,9,0.4,19.5,0,2500,34200,1,57.35,35.35,10.075,12.65,59.75,12,184,6.475186807,LC
