spcies_name,B10k_ID,Time_Ne_max,Time_Ne_min,Range_Ne,Var_Ne,Mean_Ne,SD_Ne,count_Ne
Corvus_moneduloides,OUT-0060,30340.84553,358493.4994,1.930058337,0.451038161,1.494480347,0.671593747,185
Corythaeola_cristata,B10K-CU-031-40,56890.04831,888566.1441,3.98456527,2.281701871,4.946222178,1.510530328,184
Corythaixoides_concolor,B10K-DU-011-20,994873.5905,30301.91896,3.613951319,0.774124172,4.813603285,0.879843265,188
Coturnix_japonica,NCBI-001,315107.243,30692.08276,194.0846055,4114.183953,79.26627923,64.14190481,206
Crotophaga_sulcirostris,B10K-DU-003-44,80621.36439,574909.6723,24.04066296,64.47975426,18.20278563,8.029928659,169
Crypturellus_cinnamomeus,OUT-0029,411010.1833,30600.3257,8.148393474,7.052988797,6.918349057,2.655746373,174
Crypturellus_soui,B10K-Crypturellus_soui,588117.1098,34570.81338,16.42998037,29.53277279,12.82832549,5.434406388,161
Crypturellus_undulatus,B10K-Crypturellus_undulatus,169300.3799,30567.09235,49.46831303,222.4786908,27.86049086,14.91571959,154
Cuculus_canorus,APP-017,988961.8392,45569.74645,3.617808835,1.66610765,5.584304052,1.290777924,189
Daphoenositta_chrysoptera,B10K-DU-029-47,37352.05626,992088.307,19.92528262,30.10122624,50.42853444,5.486458442,140
Dasyornis_broadbenti,B10K-DU-029-49,179026.4425,30790.32849,10.59440632,9.288471122,7.554645086,3.047699316,192
Dicaeum_eximium,B10K-DU-001-34,60047.7901,998977.1438,45.3177692,213.5333805,26.43638255,14.61278141,190
Dicrurus_megarhynchus,B10K-DU-001-48,34053.84647,417969.7671,12.35254958,14.31895129,5.518785271,3.784039018,192
Donacobius_atricapilla,B10K-DU-001-63,517180.6879,30522.59668,5.938530772,4.186959083,6.607841489,2.046206022,183
Dromaius_novaehollandiae,B10K-Dromaius_novaehollandiae,989471.6421,31606.79459,5.158251799,0.970489373,3.918847908,0.98513419,167
Dromas_ardeola,B10K-DU-012-55,987790.9461,77824.45642,2.588940205,0.730630433,2.148229935,0.854769228,170
Drymodes_brunneopygia,B10K-DU-030-03,636212.8013,30172.39381,4.323808911,2.079567142,6.802851176,1.442070436,162
Dryoscopus_gambensis,B10K-DU-002-56,986696.077,313888.1354,2.658481795,0.473663355,7.947884538,0.68823205,155
Dyaphorophyia_castanea,B10K-DU-001-71,43528.75776,182973.5983,301.2789778,5816.935331,48.98456238,76.26883591,158
Edolisoma_coerulescens,B10K-DU-001-25,528861.2979,31438.2005,6.134032333,1.620904498,14.49480971,1.273147477,164
Egretta_garzetta,APP-018,997664.681,76371.63871,1.10620668,0.114274885,4.156885352,0.338045685,189
Emberiza_fucata,B10K-DU-015-11,134898.9654,992591.6669,48.23688831,274.9256166,21.71923483,16.58088106,212
Erpornis_zantholeuca,B10K-DU-002-58,302419.1132,30090.23101,22.43214561,58.66300056,12.34126366,7.659177538,162
Erythrocercus_mccallii,B10K-DU-002-60,255634.9507,991640.9587,11.46479534,13.68497537,14.20638652,3.699320933,192
Eubucco_bourcierii,B10K-DU-001-04,415116.0846,63191.12349,4.730422001,3.336275098,5.287576606,1.826547316,178
Eudromia_elegans,B10K-Eudromia_elegans,235656.4662,30905.01946,7.810332187,4.97565762,8.539464578,2.230618215,189
Eulacestoma_nigropectus,B10K-DU-029-39,30172.17305,599322.11,2.290235392,0.207865658,8.022266332,0.455922864,187
Eurypyga_helias,APP-019,123699.8104,31281.96889,11.38504749,5.846304226,11.65637359,2.417913197,167
Eurystomus_gularis,B10K-DU-002-51,127685.6289,985896.6901,8.051038193,4.687225598,16.28543017,2.165000138,157
Falco_cherrug,NCBI-006,30225.25202,87740.33605,4.511009385,0.886388448,3.100659183,0.941482048,198
Falco_peregrinus,APP-020,444111.3672,99422.14952,0.20228914,0.002365899,1.082159326,0.048640512,161
Falcunculus_frontatus,B10K-DU-029-77,65381.36615,30842.87927,13.53540891,16.72900873,14.9370493,4.09011109,176
Formicarius_rufipectus,B10K-DU-001-43,280508.8705,30383.69664,5.560836593,3.329735643,4.208550635,1.824756324,183
Fregata_magnificens,B10K-DU-002-48,536883.9561,30371.29906,0.260224201,0.003053014,0.778459603,0.055254086,134
Fregetta_grallaria,B10K-DU-006-09,148695.7285,30463.43448,19.30387254,43.26948268,14.14795233,6.577954293,171
Fulmarus_glacialis,APP-021,71086.46272,985594.1889,0.939444918,0.041638906,2.138722608,0.204056135,164
Furnarius_figulus,B10K-DU-003-06,107542.9326,528891.2579,7.320926852,6.640119952,6.657589796,2.57684302,200
Galbula_dea,B10K-DU-001-62,88122.49834,738244.0545,12.91544153,22.01796869,11.22172453,4.692330838,194
Gallus_gallus,NCBI-011,221115.4488,30396.06201,18.25958584,39.55039142,12.36398809,6.288910193,181
Gavia_stellata,APP-022,201648.5273,30677.51365,3.670493025,1.190759152,6.575077543,1.091219113,164
