spcies_name,B10k_ID,Time_Ne_max,Time_Ne_min,Range_Ne,Var_Ne,Mean_Ne,SD_Ne,count_Ne
Phylloscopus_trochilus,NCBI-033,339442.3287,999930.4541,31.12590517,77.77294687,25.22707864,8.818897146,175
Piaya_cayana,B10K-DU-008-47,208807.3495,30641.56804,22.38976782,50.82278773,17.62603321,7.129010291,161
Picathartes_gymnocephalus,B10K-DU-012-30,55258.08708,735191.0637,0.61412263,0.023285132,1.689792377,0.152594666,114
Picoides_pubescens,APP-038,46190.23994,248911.2851,3.039409762,1.422344837,4.989802775,1.192620995,153
Piprites_chloris,B10K-DU-007-02,40055.30739,182119.2672,224.6751393,3518.814489,32.93726451,59.31959617,183
Pitta_sordida,B10K-DU-002-53,235838.9212,30965.63196,16.68559191,28.90706753,12.80588034,5.37652932,178
Ploceus_nigricollis,B10K-DU-001-79,144755.6359,989509.5294,47.09282327,197.5592309,36.23307552,14.05557651,162
Pluvianellus_socialis,B10K-DU-012-14,31605.35886,207870.335,1.002084526,0.113102748,1.543536191,0.336307521,163
Podargus_strigoides,B10K-DU-001-40,735894.1226,30668.22558,22.96175365,43.41719394,19.63271743,6.589172478,142
Podiceps_cristatus,APP-039,197479.9048,995590.9816,3.891029273,1.548455782,5.618155895,1.244369633,189
Podilymbus_podiceps,B10K-DU-009-04,76359.51006,990296.0335,9.55799375,8.836508285,10.0553444,2.972626496,184
Poecile_atricapillus,OUT-0023,112584.456,988080.9125,26.883558,68.61979639,20.99414047,8.283706682,174
Polioptila_caerulea,B10K-DU-001-66,31392.6717,986740.6347,88.05217458,643.9358987,63.55323048,25.37589208,161
Pomatorhinus_ruficollis,B10K-IZ-033-81,131325.0487,30121.89892,49.73698611,193.8474347,31.000343,13.92291042,163
Pomatostomus_ruficeps,B10K-DU-002-71,667495.863,30518.2133,4.272156775,1.274087127,7.000923997,1.12875468,153
Promerops_cafer,B10K-UC-030-53,174473.9209,985374.3379,9.798174052,10.43608541,10.74692188,3.230493059,179
Prunella_fulvescens,B10K-DU-012-46,77086.31611,506673.6354,3.121604172,1.342526374,7.865332517,1.158674404,178
Prunella_himalayana,B10K-DU-013-18,55940.86728,993810.1506,40.98965029,200.107521,35.70253633,14.14593655,168
Psilopogon_haemacephalus,B10K-DU-001-24,67702.88574,313432.118,11.24532633,16.40843239,5.959658344,4.050732327,196
Psophia_crepitans,B10K-DU-001-60,100574.7315,30201.79239,25.42158927,41.33976555,17.35132808,6.42960073,140
Pterocles_burchelli,B10K-DU-027-49,991370.6223,30796.79577,30.44814939,72.8752776,11.77746337,8.536701799,166
Pterocles_gutturalis,APP-040,30750.12232,98411.8943,2.963016654,0.889538505,4.835207604,0.94315349,184
Pteruthius_melanotis,B10K-IZ-033-77,124683.8596,988026.2052,15.43806876,33.16292091,16.02343594,5.758725632,191
Ptilonorhynchus_violaceus,B10K-DU-012-10,119993.6541,30159.66615,1.930072074,0.358720056,2.939272227,0.59893243,177
Ptilorrhoa_leucosticta,B10K-CU-031-17,113291.8474,30002.50071,28.24058436,55.8677181,22.9254155,7.474471091,148
Pycnonotus_jocosus,B10K-DU-002-42,30851.25672,984127.9392,10.73813296,4.931493704,17.80844991,2.220696671,173
Pygoscelis_adeliae,APP-041,60824.56692,988736.2272,2.691031878,0.880243996,2.877852629,0.938213193,180
Quiscalus_mexicanus,B10K-DU-001-31,45418.95382,225990.9604,5.814370709,3.839624634,4.966243984,1.959496015,190
Ramphastos_sulfuratus,B10K-DU-001-30,532157.6737,30536.34522,4.000162431,1.190505586,5.801138549,1.091102922,176
Regulus_satrapa,B10K-DU-001-18,34624.33441,995986.8205,29.23149119,75.41469602,25.20340039,8.684163519,182
Rhabdornis_inornatus,B10K-DU-001-29,46984.97218,121016.1849,1.183836409,0.099387819,5.836143983,0.315258337,195
Rhadina_sibilatrix,B10K-DU-002-26,40365.61138,999387.6487,93.84083045,643.4786844,55.91715684,25.36688164,169
Rhagologus_leucostigma,B10K-DU-029-40,206874.3995,998381.1357,20.03326363,43.77050958,20.68209465,6.615928474,165
